freq,wst_oper,stk_flow,unit,geo\TIME_PERIOD	2010 	2012 	2014 	2016 	2018 	2020 
A,RCV_E,FLOW_GRS,T,IT	2372758 	2593019 	2598789 	5500151 	8361930 	8078544 
A,RCV_E,FLOW_GRS,T,LT	110821 	105545 	186127 	276879 	291873 	462916 
A,RCV_E,FLOW_GRS,T,LU	31630 	36142 	209578 	237870 	267780 	295699 
A,RCV_E,FLOW_GRS,T,LV	63461 	152847 	169794 	124961 	172070 	179458 
A,RCV_E,FLOW_GRS,T,MT	0 	0 	0 	0 	0 	0 
A,RCV_E,FLOW_GRS,T,NL	5509880 	9009146 	10174569 	10551961 	9920363 	9379586 
A,RCV_E,FLOW_GRS,T,PL	3708446 	3562341 	5011631 	5407220 	5646255 	3555487 
A,RCV_E,FLOW_GRS,T,PT	1339912 	1196610 	1280796 	1170911 	1146998 	1188439 
A,RCV_E,FLOW_GRS,T,RO	1530622 	1647579 	2161876 	2478232 	2054565 	1958299 
A,RCV_E,FLOW_GRS,T,SE	6260883 	6673688 	7610463 	8842329 	8887437 	8769303 
A,RCV_E,FLOW_GRS,T,SI	282491 	325183 	268937 	231365 	206733 	191399 
A,RCV_E,FLOW_GRS,T,SK	254858 	269995 	311503 	557782 	568942 	627299 
A,RCV_E,FLOW_GRS,T,UK	797765 	1584682 	1937878 	7331069 	8466696 	: 
A,RCV_E,FLOW_NET,T,AT	1177045 	3141184 	: c	: c	: c	: c
A,RCV_E,FLOW_NET,T,BE	3357396 	3510394 	4358170 	4952133 	4886456 	3642816 
A,RCV_E,FLOW_NET,T,BG	173685 	193681 	201992 	445861 	622850 	: 
A,RCV_E,FLOW_NET,T,CY	7475 	1477 	19880 	-1859 	14239 	31473 
A,RCV_E,FLOW_NET,T,CZ	950500 	1092056 	1064390 	975195 	947910 b	1190991 
A,RCV_E,FLOW_NET,T,DE	27022086 s	32488902 s	36987234 s	: c	45147258 s	43919354 s
A,RCV_E,FLOW_NET,T,DK	3103928 	3080619 	3027413 	2916490 	2827451 	2763647 
A,RCV_E,FLOW_NET,T,EE	405092 	368524 	471703 	456627 	: 	: 
A,RCV_E,FLOW_NET,T,EL	: 	: 	: 	: 	295621 	: 
A,RCV_E,FLOW_NET,T,ES	2309617 	3446394 	3742540 	3866267 	3731776 	3489197 
A,RCV_E,FLOW_NET,T,EU27_2020	81040000 	94610000 	103590000 	118080000 	124670000 	123800000 
A,RCV_E,FLOW_NET,T,FI	9577053 	9956694 	4212467 	5191776 	5904591 	5557374 
A,RCV_E,FLOW_NET,T,FR	12279438 	11739333 	13502912 	16432730 	17699804 	22258474 
A,RCV_E,FLOW_NET,T,HR	215531 	38355 	45683 	52515 	64964 	177788 
A,RCV_E,FLOW_NET,T,HU	861163 	967093 	1268349 	982868 	1106964 	1255476 
A,RCV_E,FLOW_NET,T,IE	173907 	419170 	729821 	575333 s	1264206 	: 
A,RCV_E,FLOW_NET,T,IT	2681419 s	2680884 s	2876276 s	5949767 s	9014667 s	8899080 s
A,RCV_E,FLOW_NET,T,LT	85964 	56957 	110092 	281591 	245759 	: 
A,RCV_E,FLOW_NET,T,LU	59120 	84807 	231339 	233155 	249057 	245040 
A,RCV_E,FLOW_NET,T,LV	: 	: 	: 	: 	254285 	56244 
A,RCV_E,FLOW_NET,T,MT	0 	1737 	425 	0 	161 	102 
A,RCV_E,FLOW_NET,T,NL	6772160 	9050098 	10295699 	10519218 	9373290 	9321774 
A,RCV_E,FLOW_NET,T,PL	3879594 	3476927 	5396697 	5742750 	6079848 	3733009 
A,RCV_E,FLOW_NET,T,PT	1465336 	1281550 	1440589 	1255686 	1053599 	1115832 
A,RCV_E,FLOW_NET,T,RO	1530622 d	1647579 d	2161876 d	2478232 d	2072728 d	1959007 d
A,RCV_E,FLOW_NET,T,SE	5287548 	5360145 	6425984 	7383079 	7301635 	: 
A,RCV_E,FLOW_NET,T,SI	308338 	364818 	364519 	303196 	337950 	336893 
A,RCV_E,FLOW_NET,T,SK	254858 d	269995 d	311503 d	557782 d	597383 d	567608 d
A,RCV_E,FLOW_NET,T,UK	925336 	2012633 	2830648 	8218454 	: 	: 
A,RCV_E,IMP,T,AT	520260 	595070 	808069 	402734 	808024 	300476 
A,RCV_E,IMP,T,BE	1879192 	1683050 	1593762 	822852 	826357 	554733 
A,RCV_E,IMP,T,BG	465 	5408 	5265 	18048 	22189 	: 
A,RCV_E,IMP,T,CY	0 	9690 	11014 	75970 	117579 	154179 
A,RCV_E,IMP,T,CZ	99095 	132005 	205728 	263688 	262521 	199007 
A,RCV_E,IMP,T,DE	1697234 s	1709912 s	2129135 s	1099333 s	1240377 s	979345 s
A,RCV_E,IMP,T,DK	0 	241212 	424442 	619786 	549300 	698110 
A,RCV_E,IMP,T,EE	23145 	41716 	54915 	49151 	: 	: 
A,RCV_E,IMP,T,EL	: 	: 	: 	: 	28351 	: 
A,RCV_E,IMP,T,ES	443887 	71185 	103792 	125953 	182653 	253302 
A,RCV_E,IMP,T,EU27_2020	13900000 	8710000 	5750000 	5940000 	7700000 	7530000 
A,RCV_E,IMP,T,FI	411615 	313908 	278366 	275754 	135104 	290759 
A,RCV_E,IMP,T,FR	378363 	453291 	314701 	333841 	630072 	761446 
A,RCV_E,IMP,T,HR	18570 	0 	0 	0 	19272 	46676 
A,RCV_E,IMP,T,HU	95585 	97202 	80932 	87782 	4965 	90467 
A,RCV_E,IMP,T,IE	11863 	9086 	2871 	11120 s	7462 	: 
A,RCV_E,IMP,T,IT	101261 s	64042 s	100074 s	86032 s	643 s	1741 s
A,RCV_E,IMP,T,LT	96930 	135113 	160771 	56265 	148015 	: 
A,RCV_E,IMP,T,LU	17121 	10926 	38675 	36169 	47338 	70443 
A,RCV_E,IMP,T,LV	: 	: 	: 	: 	168 	143068 
A,RCV_E,IMP,T,MT	0 	0 	0 	0 	0 	0 
A,RCV_E,IMP,T,NL	261301 	1208396 	233443 	120855 	162953 	284660 
A,RCV_E,IMP,T,PL	164193 	263411 	173873 	70056 	163086 	172762 
A,RCV_E,IMP,T,PT	0 	0 	0 	0 	172588 	152319 
A,RCV_E,IMP,T,RO	0 d	0 d	0 d	0 d	58907 d	32056 d
A,RCV_E,IMP,T,SE	1010496 	1411036 	1274225 	1548854 	1671199 	: 
A,RCV_E,IMP,T,SI	211003 	211734 	167370 	88862 	72186 	29396 
A,RCV_E,IMP,T,SK	0 d	0 d	0 d	0 d	35360 d	133888 d
A,RCV_E,IMP,T,UK	28024 	16189 	29375 	40841 	: 	: 
A,RCV_R,BAL_TRD,T,AT	-756526 	-743966 	-1145896 	-942863 	-1730896 	-1317257 
A,RCV_R,BAL_TRD,T,BE	-482635 	-495411 	-490314 	-1109113 	-110475 	550264 
A,RCV_R,BAL_TRD,T,BG	660306 	646337 	257951 	115997 	217937 	: 
A,RCV_R,BAL_TRD,T,CY	161076 	204122 	143118 	129588 	145965 	137610 
A,RCV_R,BAL_TRD,T,CZ	1972394 	2189461 	2252518 	2009422 	1198657 	1190888 
A,RCV_R,BAL_TRD,T,DE	6072743 s	5409040 s	4772622 s	5013957 s	4049224 s	3158692 s
A,RCV_R,BAL_TRD,T,DK	0 	1744979 	1483113 	1276658 	1701254 	1423109 
A,RCV_R,BAL_TRD,T,EE	647930 	535171 	431685 	257218 	: 	: 
A,RCV_R,BAL_TRD,T,EL	: 	: 	: 	: 	-476047 	: 
A,RCV_R,BAL_TRD,T,ES	-6116016 	-4067504 	-4773552 	-3929906 	-3847341 	-3517226 
A,RCV_R,BAL_TRD,T,EU27_2020	17350000 	17340000 	14230000 	11740000 	12140000 	13760000 
A,RCV_R,BAL_TRD,T,FI	-299250 	593305 	517861 	463284 	402740 	-166970 
A,RCV_R,BAL_TRD,T,FR	7081748 	7405511 	7802676 	6283067 	6529128 	6236634 
A,RCV_R,BAL_TRD,T,HR	316853 	0 	0 	223755 	241916 	173608 
A,RCV_R,BAL_TRD,T,HU	761761 	935573 	819469 	755541 	845079 	643250 
A,RCV_R,BAL_TRD,T,IE	531635 	777729 	614019 	560682 s	523699 	: 
A,RCV_R,BAL_TRD,T,IT	-2324304 s	-2661168 s	-3439985 s	-3240148 s	-4575060 s	-3971891 s
A,RCV_R,BAL_TRD,T,LT	511310 	512735 	550230 	535067 	657258 	: 
A,RCV_R,BAL_TRD,T,LU	-2599999 	-2421209 	-2206424 	-2289378 	-2346399 	-2141416 
A,RCV_R,BAL_TRD,T,LV	: 	: 	: 	: 	58269 	161184 
A,RCV_R,BAL_TRD,T,MT	76783 	85333 	87165 	176494 	108700 	94447 
A,RCV_R,BAL_TRD,T,NL	1175826 	756363 	3950417 	3694767 	-8499564 	2914508 
A,RCV_R,BAL_TRD,T,PL	1292524 	1872087 	1707044 	1222613 	1761983 	2569616 
A,RCV_R,BAL_TRD,T,PT	1091890 	975605 	925806 	1304964 	-1205985 	-1057783 
A,RCV_R,BAL_TRD,T,RO	0 d	0 d	0 d	0 d	764515 d	1310077 d
A,RCV_R,BAL_TRD,T,SE	195716 	654094 	756950 	876421 	857472 	: 
A,RCV_R,BAL_TRD,T,SI	-411690 	-320720 	-337549 	-372460 	-101146 	-5844 
A,RCV_R,BAL_TRD,T,SK	0 d	0 d	0 d	0 d	560458 d	856806 d
A,RCV_R,BAL_TRD,T,UK	13205235 	13134862 	12517135 	13999498 	: 	: 
A,RCV_R,EXP,T,AT	2122117 	2199134 	2253155 	2748251 	2595244 	2192601 
A,RCV_R,EXP,T,BE	8068869 	7975870 	8549575 	8120235 	8808955 	9066175 
A,RCV_R,EXP,T,BG	1089370 	960688 	600894 	513085 	701461 	: 
A,RCV_R,EXP,T,CY	161076 	204122 	143118 	129606 	146649 	154321 
A,RCV_R,EXP,T,CZ	2808488 	3255848 	3464681 	3405135 	3339559 	3304386 
A,RCV_R,EXP,T,DE	19678320 s	19543741 s	18910535 s	19165513 s	18639009 s	16648639 s
A,RCV_R,EXP,T,DK	0 	2203264 	2194778 	1744082 	2095788 	2095367 
A,RCV_R,EXP,T,EE	697202 	805300 	583891 	361107 	: 	: 
A,RCV_R,EXP,T,EL	: 	: 	: 	: 	671011 	: 
A,RCV_R,EXP,T,ES	1757668 	2554021 	2803472 	3013284 	3064010 	2634090 
A,RCV_R,EXP,T,EU27_2020	85050000 	85970000 	86540000 	84560000 	89170000 	86590000 
A,RCV_R,EXP,T,FI	582995 	782635 	746604 	673879 	797076 	1046475 
A,RCV_R,EXP,T,FR	12549176 	13294225 	13527805 	11858708 	12255954 	11558920 
A,RCV_R,EXP,T,HR	501839 	0 	0 	557626 	709209 	870844 
A,RCV_R,EXP,T,HU	1410330 	1681109 	1540149 	1690790 	1756148 	1602330 
A,RCV_R,EXP,T,IE	1047506 	1153514 	1151583 	1143922 s	1281036 	: 
A,RCV_R,EXP,T,IT	2432596 s	2886946 s	2507906 s	2291225 s	2273712 s	2447363 s
A,RCV_R,EXP,T,LT	745590 	815253 	821610 	861044 	1176040 	: 
A,RCV_R,EXP,T,LU	427565 	486999 	385700 	461800 	455638 	467504 
A,RCV_R,EXP,T,LV	: 	: 	: 	: 	139943 	436146 
A,RCV_R,EXP,T,MT	76783 	85333 	87165 	176494 	108700 	94447 
A,RCV_R,EXP,T,NL	7146651 	6487118 	10340559 	10339059 	3758678 	11842581 
A,RCV_R,EXP,T,PL	2458625 	3239751 	3537599 	3493720 	4353604 	4948782 
A,RCV_R,EXP,T,PT	1091890 	975605 	925806 	1304964 	1272244 	1172079 
A,RCV_R,EXP,T,RO	0 d	0 d	0 d	0 d	1372801 d	1867798 d
A,RCV_R,EXP,T,SE	2199317 	2478753 	2471325 	2494323 	2419522 	: 
A,RCV_R,EXP,T,SI	714123 	828866 	883717 	945064 	923880 	916284 
A,RCV_R,EXP,T,SK	0 d	0 d	0 d	0 d	1111295 d	1627181 d
A,RCV_R,EXP,T,UK	14773157 	14423881 	13893767 	15466368 	: 	: 
A,RCV_R,FLOW_GRS,T,AT	6766266 	8473545 	8962417 	10544245 	9997304 	9623832 
A,RCV_R,FLOW_GRS,T,BE	22831656 	30174653 	31695830 	31471602 	35888267 	36375973 
A,RCV_R,FLOW_GRS,T,BG	1534050 	1708812 	2571058 	3781473 	3182983 	6988842 
A,RCV_R,FLOW_GRS,T,CY	307899 	63764 	80505 	96781 	124228 	215854 
A,RCV_R,FLOW_GRS,T,CZ	4079146 	4707309 	4996961 	5499970 	6873081 b	6076961 
A,RCV_R,FLOW_GRS,T,DE	67754441 	68170346 	72472001 	: c	73690256 	73472724 
A,RCV_R,FLOW_GRS,T,DK	4514291 	3493988 	3293632 	3848703 	3392455 	3693577 
A,RCV_R,FLOW_GRS,T,EE	1833582 	2152602 	1755557 	909410 	1173719 	831805 
A,RCV_R,FLOW_GRS,T,EL	4502836 	2782790 	1992483 	2963075 	4142938 	3327340 
A,RCV_R,FLOW_GRS,T,ES	28415622 	27422580 	29895003 	25728082 	28576431 	24972305 
A,RCV_R,FLOW_GRS,T,EU27_2020	325370000 	341120000 	360610000 	359240000 	377260000 	357370000 
A,RCV_R,FLOW_GRS,T,FI	7025286 	8229933 	3996349 	3277227 	3826713 	4575181 
A,RCV_R,FLOW_GRS,T,FR	35567513 	34732050 	36929189 	40192699 	40017898 	35065250 
A,RCV_R,FLOW_GRS,T,HR	397594 	814728 	1321697 	1415865 	1617106 	1833570 
A,RCV_R,FLOW_GRS,T,HU	2908408 	2834179 	3356266 	3379220 	4086950 	5607899 
A,RCV_R,FLOW_GRS,T,IE	863382 	611534 	1026939 	967871 	1147263 	: 
A,RCV_R,FLOW_GRS,T,IT	47209723 	53631085 	56404352 	58154387 	61119415 	61579533 
A,RCV_R,FLOW_GRS,T,LT	763441 	582547 	703405 	1038496 	953288 	1181926 
A,RCV_R,FLOW_GRS,T,LU	4234472 	3294521 	2664463 	3114107 	3163514 	2952706 
A,RCV_R,FLOW_GRS,T,LV	165504 	626004 	978827 	1214511 	622368 	1070435 
A,RCV_R,FLOW_GRS,T,MT	73 	4735 	0 	3060 	2779 	3577 
A,RCV_R,FLOW_GRS,T,NL	27510558 	28910400 	28634657 	28974738 	30718917 	29848885 
A,RCV_R,FLOW_GRS,T,PL	36342567 	35547046 	45349260 	37008636 	40212902 	24938508 
A,RCV_R,FLOW_GRS,T,PT	3581705 	3653643 	4367026 	3197047 	4228184 	4080895 
A,RCV_R,FLOW_GRS,T,RO	5527962 	6413975 	5399301 	5825201 	4929774 	5058124 
A,RCV_R,FLOW_GRS,T,SE	6901824 	7232175 	7533063 	7881482 	8191689 	7245441 
A,RCV_R,FLOW_GRS,T,SI	1803601 	2646931 	2244627 	2238365 	2476497 	2183680 
A,RCV_R,FLOW_GRS,T,SK	2028799 	2205167 	1986510 	2823581 	2898907 	3504808 
A,RCV_R,FLOW_GRS,T,UK	34001830 	32952449 	32502486 	34013870 	35463852 	: 
A,RCV_R,FLOW_NET,T,AT	6009740 	7729579 	7816521 	9601382 	8266407 	8306575 
A,RCV_R,FLOW_NET,T,BE	22349021 	29679242 	31205516 	30362489 	35777792 	36926237 
A,RCV_R,FLOW_NET,T,BG	2194356 	2355149 	2829009 	3897470 	3400920 	: 
A,RCV_R,FLOW_NET,T,CY	468975 	267886 	223623 	226369 	270193 	353464 
A,RCV_R,FLOW_NET,T,CZ	6051540 	6896770 	7249479 	7509392 	8071738 b	7267849 
A,RCV_R,FLOW_NET,T,DE	73827184 s	73579386 s	77244623 s	: c	77739480 s	76631417 s
A,RCV_R,FLOW_NET,T,DK	4514291 	5238967 	4776745 	5125361 	5093709 	5116686 
A,RCV_R,FLOW_NET,T,EE	2481512 	2687773 	2187242 	1166628 	: 	: 
A,RCV_R,FLOW_NET,T,EL	: 	: 	: 	: 	3666891 	: 
A,RCV_R,FLOW_NET,T,ES	22299606 	23355076 	25121451 	21798176 	24729090 	21455078 
A,RCV_R,FLOW_NET,T,EU27_2020	342720000 	358460000 	374840000 	370980000 	389390000 	371130000 
A,RCV_R,FLOW_NET,T,FI	6726036 	8823238 	4514210 	3740511 	4229453 	4408211 
A,RCV_R,FLOW_NET,T,FR	42649261 	42137561 	44731865 	46475766 	46547026 	41301884 
A,RCV_R,FLOW_NET,T,HR	714447 	814728 	1321697 	1639620 	1859021 	2007178 
A,RCV_R,FLOW_NET,T,HU	3670169 	3769752 	4175735 	4134761 	4932029 	6251149 
A,RCV_R,FLOW_NET,T,IE	1395017 	1389263 	1640958 	1528553 s	1670962 	: 
A,RCV_R,FLOW_NET,T,IT	44885419 s	50969917 s	52964367 s	54914239 s	56544355 s	57607642 s
A,RCV_R,FLOW_NET,T,LT	1274751 	1095282 	1253635 	1573563 	1610547 	: 
A,RCV_R,FLOW_NET,T,LU	1634473 	873312 	458039 	824729 	817115 	811290 
A,RCV_R,FLOW_NET,T,LV	: 	: 	: 	: 	680637 	1231619 
A,RCV_R,FLOW_NET,T,MT	76856 	90068 	87165 	179554 	111479 	98025 
A,RCV_R,FLOW_NET,T,NL	28686384 	29666763 	32585074 	32669505 	22219353 	32763393 
A,RCV_R,FLOW_NET,T,PL	37635091 	37419133 	47056304 	38231249 	41974885 	27508124 
A,RCV_R,FLOW_NET,T,PT	4673595 	4629248 	5292832 	4502011 	3022199 	3023112 
A,RCV_R,FLOW_NET,T,RO	5527962 d	6413975 d	5399301 d	5825201 d	5694289 d	6368201 d
A,RCV_R,FLOW_NET,T,SE	7097540 	7886269 	8290013 	8757903 	9049160 	: 
A,RCV_R,FLOW_NET,T,SI	1391911 	2326212 	1907078 	1865905 	2375350 	2177837 
A,RCV_R,FLOW_NET,T,SK	2028799 d	2205167 d	1986510 d	2823581 d	3459364 d	4361614 d
A,RCV_R,FLOW_NET,T,UK	47207065 	46087312 	45019621 	48013368 	: 	: 
A,RCV_R,IMP,T,AT	2878643 	2943099 	3399051 	3691114 	4326141 	3509858 
A,RCV_R,IMP,T,BE	8551504 	8471280 	9039889 	9229348 	8919430 	8515911 
A,RCV_R,IMP,T,BG	429064 	314351 	342944 	397088 	483524 	: 
A,RCV_R,IMP,T,CY	0 	0 	0 	19 	684 	16711 
A,RCV_R,IMP,T,CZ	836094 	1066387 	1212162 	1395713 	2140902 	2113498 
A,RCV_R,IMP,T,DE	13605577 s	14134702 s	14137913 s	14151557 s	14589785 s	13489946 s
A,RCV_R,IMP,T,DK	0 	458285 	711665 	467423 	394535 	672257 
A,RCV_R,IMP,T,EE	49272 	270129 	152206 	103888 	: 	: 
A,RCV_R,IMP,T,EL	: 	: 	: 	: 	1147058 	: 
A,RCV_R,IMP,T,ES	7873684 	6621525 	7577024 	6943190 	6911351 	6151316 
A,RCV_R,IMP,T,EU27_2020	67700000 	68640000 	72310000 	72820000 	77030000 	72830000 
A,RCV_R,IMP,T,FI	882245 	189329 	228743 	210595 	394336 	1213445 
A,RCV_R,IMP,T,FR	5467428 	5888714 	5725129 	5575641 	5726825 	5322286 
A,RCV_R,IMP,T,HR	184986 	0 	0 	333872 	467293 	697237 
A,RCV_R,IMP,T,HU	648570 	745536 	720681 	935248 	911070 	959081 
A,RCV_R,IMP,T,IE	515871 	375785 	537564 	583241 s	757336 	: 
A,RCV_R,IMP,T,IT	4756899 s	5548114 s	5947891 s	5531373 s	6848772 s	6419254 s
A,RCV_R,IMP,T,LT	234280 	302518 	271380 	325977 	518782 	: 
A,RCV_R,IMP,T,LU	3027564 	2908208 	2592124 	2751178 	2802037 	2608921 
A,RCV_R,IMP,T,LV	: 	: 	: 	: 	81674 	274962 
A,RCV_R,IMP,T,MT	0 	0 	0 	0 	0 	0 
A,RCV_R,IMP,T,NL	5970825 	5730755 	6390141 	6644292 	12258242 	8928074 
A,RCV_R,IMP,T,PL	1166101 	1367665 	1830555 	2271107 	2591621 	2379166 
A,RCV_R,IMP,T,PT	0 	0 	0 	0 	2478229 	2229862 
A,RCV_R,IMP,T,RO	0 d	0 d	0 d	0 d	608286 d	557722 d
A,RCV_R,IMP,T,SE	2003601 	1824658 	1714375 	1617902 	1562050 	: 
A,RCV_R,IMP,T,SI	1125813 	1149586 	1221266 	1317524 	1025026 	922127 
A,RCV_R,IMP,T,SK	0 d	0 d	0 d	0 d	550838 d	770375 d
A,RCV_R,IMP,T,UK	1567922 	1289019 	1376632 	1466870 	: 	: 
A,TRT,BAL_TRD,T,AT	-950669 	-887038 	-1456039 	-966766 	-2082307 	-1177277 
A,TRT,BAL_TRD,T,BE	-2095440 	-2293887 	-2004807 	-1642665 	-840354 	50934 
A,TRT,BAL_TRD,T,BG	690849 	668267 	265049 	81074 	206454 	: 
A,TRT,BAL_TRD,T,CY	161076 	194432 	132105 	53811 	28406 	-16552 
A,TRT,BAL_TRD,T,CZ	2155989 	2316993 	2286682 	1957608 	942672 	827884 
A,TRT,BAL_TRD,T,DE	5651115 s	4984048 s	3903236 s	4677131 s	3765177 s	3054692 s
A,TRT,BAL_TRD,T,DK	0 	1592708 	955328 	784753 	1245845 	827996 
A,TRT,BAL_TRD,T,EE	713201 	549486 	376970 	208619 	: 	: 
A,TRT,BAL_TRD,T,EL	: 	: 	: 	: 	-480077 	: 
A,TRT,BAL_TRD,T,ES	-6431949 	-3956759 	-4593161 	-3917763 	-3712661 	-3476141 
A,TRT,BAL_TRD,T,EU27_2020	12910000 	13540000 	11950000 	8360000 	8900000 	10150000 
A,TRT,BAL_TRD,T,FI	-516581 	331592 	445265 	214878 	326114 	-431735 
A,TRT,BAL_TRD,T,FR	6894141 	7457400 	7871616 	6206664 	6441365 	6008916 
A,TRT,BAL_TRD,T,HR	425538 	0 	0 	261076 	243118 	144263 
A,TRT,BAL_TRD,T,HU	762938 	941545 	861083 	706442 	863921 	587397 
A,TRT,BAL_TRD,T,IE	535159 	789528 	623777 	592358 s	585112 	: 
A,TRT,BAL_TRD,T,IT	-1638713 s	-2013107 s	-2913643 s	-2532319 s	-3454454 s	-2683787 s
A,TRT,BAL_TRD,T,LT	486283 	469607 	480138 	548321 	611170 	: 
A,TRT,BAL_TRD,T,LU	-2572477 	-2372609 	-2184676 	-2272393 	-2318616 	-2159990 
A,TRT,BAL_TRD,T,LV	: 	: 	: 	: 	77285 	-9225 
A,TRT,BAL_TRD,T,MT	78165 	87767 	88465 	177057 	121392 	115620 
A,TRT,BAL_TRD,T,NL	2594180 	956044 	4076064 	3755817 	-9689755 	2472854 
A,TRT,BAL_TRD,T,PL	1466298 	1785941 	2098621 	1546156 	2210202 	2743947 
A,TRT,BAL_TRD,T,PT	1218124 	1061121 	1087057 	1390449 	-1306205 	-1130762 
A,TRT,BAL_TRD,T,RO	0 d	0 d	0 d	0 d	782141 d	1310494 d
A,TRT,BAL_TRD,T,SE	-680563 	-627884 	-358356 	-501606 	-601811 	: 
A,TRT,BAL_TRD,T,SI	-386553 	-280110 	-237887 	-295723 	57510 	171581 
A,TRT,BAL_TRD,T,SK	0 d	0 d	0 d	0 d	577887 d	781614 d
A,TRT,BAL_TRD,T,UK	13310021 	13602579 	13400567 	14926962 	: 	: 
A,TRT,EXP,T,AT	2463048 	2669051 	2772804 	3179097 	3072534 	2731628 
A,TRT,EXP,T,BE	8600107 	8581482 	9035633 	8674348 	9085493 	9397242 
A,TRT,EXP,T,BG	1120444 	988095 	614466 	515214 	712231 	: 
A,TRT,EXP,T,CY	161076 	204122 	143119 	129800 	146669 	154339 
A,TRT,EXP,T,CZ	3096842 	3527658 	3721819 	3617848 	3353594 	3345258 
A,TRT,EXP,T,DE	21150459 s	21169304 s	20589766 s	20149357 s	19769980 s	17665498 s
A,TRT,EXP,T,DK	0 	2404265 	2334657 	1875489 	2190023 	2199049 
A,TRT,EXP,T,EE	793191 	870098 	604606 	361681 	: 	: 
A,TRT,EXP,T,EL	: 	: 	: 	: 	696089 	: 
A,TRT,EXP,T,ES	1995579 	2805767 	3117100 	3178260 	3415492 	2957361 
A,TRT,EXP,T,EU27_2020	95490000 	92380000 	91470000 	90000000 	94980000 	92140000 
A,TRT,EXP,T,FI	785888 	928416 	952374 	701227 	855616 	1073001 
A,TRT,EXP,T,FR	13066535 	13907133 	14018152 	12170593 	12860008 	12171924 
A,TRT,EXP,T,HR	636552 	0 	0 	594947 	729684 	888175 
A,TRT,EXP,T,HU	1508899 	1785390 	1667228 	1729475 	1781263 	1637494 
A,TRT,EXP,T,IE	1066349 	1179819 	1167633 	1186836 s	1350803 	: 
A,TRT,EXP,T,IT	3262095 s	3666211 s	3236650 s	3163300 s	3396359 s	3737975 s
A,TRT,EXP,T,LT	819559 	908059 	912404 	930809 	1279609 	: 
A,TRT,EXP,T,LU	472234 	546638 	446153 	514954 	530760 	519374 
A,TRT,EXP,T,LV	: 	: 	: 	: 	223165 	463665 
A,TRT,EXP,T,MT	78165 	87767 	88465 	177057 	121392 	115620 
A,TRT,EXP,T,NL	8857085 	7960120 	10789948 	10591691 	3000632 	12306202 
A,TRT,EXP,T,PL	2816847 	3434045 	4111603 	3899801 	4971759 	5299622 
A,TRT,EXP,T,PT	1218124 	1061121 	1087057 	1390449 	1351478 	1252046 
A,TRT,EXP,T,RO	0 d	0 d	0 d	0 d	1449878 d	1900638 d
A,TRT,EXP,T,SE	2357033 	2706000 	2719426 	2814124 	2713830 	: 
A,TRT,EXP,T,SI	951159 	1082461 	1150757 	1110663 	1155175 	1124103 
A,TRT,EXP,T,SK	0 d	0 d	0 d	0 d	1175120 d	1701539 d
A,TRT,EXP,T,UK	14942029 	14926138 	14830466 	16447718 	: 	: 
A,TRT,FLOW_GRS,T,AT	10976875 	12858944 	14040171 	15462417 	15243169 	14406552 
A,TRT,FLOW_GRS,T,BE	31808270 	39382523 	40392716 	40444622 	45181828 	42265026 
A,TRT,FLOW_GRS,T,BG	7548357 	16056992 	16528476 	14620807 	14808211 	13561635 
A,TRT,FLOW_GRS,T,CY	862265 	600925 	585092 	686385 	808096 	825902 
A,TRT,FLOW_GRS,T,CZ	9827304 	9580228 	9841258 	10547872 	12394643 b	11502582 
A,TRT,FLOW_GRS,T,DE	128027881 	132515309 	140848379 	142528452 	141893664 	136669359 
A,TRT,FLOW_GRS,T,DK	8121448 	7262228 	7049885 	7588274 	7326677 	7353600 
A,TRT,FLOW_GRS,T,EE	10436336 	10255619 	11301626 	11003895 	11866896 	7110836 
A,TRT,FLOW_GRS,T,EL	22456246 	21666732 	17859898 	11725070 	13985004 	8709252 
A,TRT,FLOW_GRS,T,ES	56796951 	54389676 	59259119 	51015248 	56252951 	48088623 
A,TRT,FLOW_GRS,T,EU27_2020	638770000 	665770000 	679400000 	663700000 	691790000 	633800000 
A,TRT,FLOW_GRS,T,FI	20597619 	21270888 	10622479 	10003528 	10962148 	11391864 
A,TRT,FLOW_GRS,T,FR	78078875 	74918648 	76828496 	80141775 	83602083 	81365364 
A,TRT,FLOW_GRS,T,HR	2351104 	2305358 	2810379 	2873607 	3068969 	3210165 
A,TRT,FLOW_GRS,T,HU	9306174 	9781335 	9470767 	8847251 	9288333 	11095767 
A,TRT,FLOW_GRS,T,IE	3303974 	2982103 	3035834 	3119711 	3458430 	: 
A,TRT,FLOW_GRS,T,IT	76399718 	81058801 	82186307 	82841441 	87866646 	82220233 
A,TRT,FLOW_GRS,T,LT	2078246 	1688260 	1724917 	1760138 	1633784 	1927480 
A,TRT,FLOW_GRS,T,LU	4440491 	3504645 	2919632 	3558204 	3489550 	3305873 
A,TRT,FLOW_GRS,T,LV	837777 	1375391 	1812287 	1705385 	1286319 	1780117 
A,TRT,FLOW_GRS,T,MT	238821 	231981 	238216 	245057 	282483 	284305 
A,TRT,FLOW_GRS,T,NL	37846793 	40724630 	41058972 	41870083 	43131780 	41615129 
A,TRT,FLOW_GRS,T,PL	63361809 	65952010 	76026512 	66689053 	68276787 	50374777 
A,TRT,FLOW_GRS,T,PT	8677682 	8466034 	8746301 	7330320 	8822098 	8964575 
